School_ID,Time_ID,Budget,Spending_On_Library,Spending_On_Teachers,Number_of_Classrooms,Library_Books,Health_Staff
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,34,1046655,202338,909849,14,4370,1
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,35,2360241,458638,1283593,34,9900,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,36,4113477,706183,1411731,33,8329,10
aefcfad8-efc8-4849-b3aa-7efe4458a885,1,2608210,509787,1918974,16,1450,5
aefcfad8-efc8-4849-b3aa-7efe4458a885,2,4684763,285155,1452738,28,3836,3
aefcfad8-efc8-4849-b3aa-7efe4458a885,3,3677721,287824,562880,17,8392,4
aefcfad8-efc8-4849-b3aa-7efe4458a885,4,3560319,850373,473525,30,3989,10
aefcfad8-efc8-4849-b3aa-7efe4458a885,5,4379152,108188,1462800,16,6935,2
aefcfad8-efc8-4849-b3aa-7efe4458a885,6,2649212,164185,1954274,42,897,2
aefcfad8-efc8-4849-b3aa-7efe4458a885,7,1939867,317894,1893091,18,3543,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,8,2381204,151482,1381572,46,1936,7
aefcfad8-efc8-4849-b3aa-7efe4458a885,9,2360033,281326,1194051,20,3065,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,10,2979037,527560,1115329,36,3053,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,11,4901655,670999,1633036,10,1341,8
aefcfad8-efc8-4849-b3aa-7efe4458a885,12,2679229,221943,426442,45,2006,8
aefcfad8-efc8-4849-b3aa-7efe4458a885,13,1556995,268335,1089689,48,1858,8
aefcfad8-efc8-4849-b3aa-7efe4458a885,14,4812369,826873,1452956,49,3192,6
aefcfad8-efc8-4849-b3aa-7efe4458a885,15,4408208,927506,264729,19,4216,2
aefcfad8-efc8-4849-b3aa-7efe4458a885,16,2965916,291541,1773430,22,5096,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,17,1965547,374904,1338599,21,4801,8
aefcfad8-efc8-4849-b3aa-7efe4458a885,18,2187762,332898,1780425,21,1743,3
aefcfad8-efc8-4849-b3aa-7efe4458a885,19,4331310,967112,900828,45,2128,4
aefcfad8-efc8-4849-b3aa-7efe4458a885,20,2650653,977324,1113977,10,8927,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,21,2682586,644534,913703,19,4506,10
aefcfad8-efc8-4849-b3aa-7efe4458a885,22,3069588,390173,1492830,19,3625,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,23,1498080,722266,249486,34,4216,5
aefcfad8-efc8-4849-b3aa-7efe4458a885,24,1392848,204820,1288359,33,8770,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,25,2682548,942410,901624,30,880,9
aefcfad8-efc8-4849-b3aa-7efe4458a885,26,2038325,170724,1342380,40,3062,2
aefcfad8-efc8-4849-b3aa-7efe4458a885,27,3202168,379446,908559,22,8882,8
aefcfad8-efc8-4849-b3aa-7efe4458a885,28,604616,570920,399047,27,8470,4
aefcfad8-efc8-4849-b3aa-7efe4458a885,29,1352265,639949,1827961,36,9395,5
aefcfad8-efc8-4849-b3aa-7efe4458a885,30,1992358,209402,1515662,32,2452,9
aefcfad8-efc8-4849-b3aa-7efe4458a885,31,1444518,295175,522844,31,8639,8
aefcfad8-efc8-4849-b3aa-7efe4458a885,32,1928594,533751,810711,25,847,7
aefcfad8-efc8-4849-b3aa-7efe4458a885,33,2898701,251856,1572473,22,1821,9
aefcfad8-efc8-4849-b3aa-7efe4458a885,34,3123299,877337,300492,16,3197,9
aefcfad8-efc8-4849-b3aa-7efe4458a885,35,834751,960313,478706,25,4170,7
aefcfad8-efc8-4849-b3aa-7efe4458a885,36,3586772,444292,307622,36,5742,10
e27a984d-6548-41d0-bfcd-9eb1a7cad415,1,3614229,647879,1602146,23,5582,7
e27a984d-6548-41d0-bfcd-9eb1a7cad415,2,2219375,473493,589263,36,2635,6
e27a984d-6548-41d0-bfcd-9eb1a7cad415,3,4310381,118749,595275,20,2002,9
e27a984d-6548-41d0-bfcd-9eb1a7cad415,4,3424151,417271,1804329,21,3664,2
e27a984d-6548-41d0-bfcd-9eb1a7cad415,5,4616513,856317,240980,42,2199,5
e27a984d-6548-41d0-bfcd-9eb1a7cad415,6,1796773,746519,1212117,43,7693,7
e27a984d-6548-41d0-bfcd-9eb1a7cad415,7,601949,108955,1447847,50,1523,9
e27a984d-6548-41d0-bfcd-9eb1a7cad415,8,2491410,973287,721109,30,9105,9
e27a984d-6548-41d0-bfcd-9eb1a7cad415,9,2526962,534162,1702500,22,6944,10
e27a984d-6548-41d0-bfcd-9eb1a7cad415,10,3605171,984826,292725,21,2314,4
e27a984d-6548-41d0-bfcd-9eb1a7cad415,11,3289581,117184,1735826,50,8307,1
e27a984d-6548-41d0-bfcd-9eb1a7cad415,12,2272883,175901,1932273,42,8436,6
e27a984d-6548-41d0-bfcd-9eb1a7cad415,13,4318565,255314,484842,16,4901,9
e27a984d-6548-41d0-bfcd-9eb1a7cad415,14,2434078,965189,677899,35,9603,10
e27a984d-6548-41d0-bfcd-9eb1a7cad415,15,1567647,419515,373067,37,6991,6
e27a984d-6548-41d0-bfcd-9eb1a7cad415,16,807638,244836,1847934,23,4765,3
e27a984d-6548-41d0-bfcd-9eb1a7cad415,17,4902577,943965,606744,49,1966,2
e27a984d-6548-41d0-bfcd-9eb1a7cad415,18,947208,152453,1559918,23,2528,4
e27a984d-6548-41d0-bfcd-9eb1a7cad415,19,2264034,254865,1554992,49,1172,10
e27a984d-6548-41d0-bfcd-9eb1a7cad415,20,2648662,782148,387147,44,5094,4
e27a984d-6548-41d0-bfcd-9eb1a7cad415,21,3305126,528892,551412,28,3027,2
e27a984d-6548-41d0-bfcd-9eb1a7cad415,22,4011969,350051,244763,27,8669,3
e27a984d-6548-41d0-bfcd-9eb1a7cad415,23,1614386,635718,1213827,17,8730,2
e27a984d-6548-41d0-bfcd-9eb1a7cad415,24,939218,860395,1477348,42,5999,6
e27a984d-6548-41d0-bfcd-9eb1a7cad415,25,3005037,201727,469868,10,9090,6
e27a984d-6548-41d0-bfcd-9eb1a7cad415,26,3802325,602406,1543710,20,7776,4
e27a984d-6548-41d0-bfcd-9eb1a7cad415,27,3655566,283029,675733,49,3590,5
e27a984d-6548-41d0-bfcd-9eb1a7cad415,28,3462201,349594,1515942,42,591,2
e27a984d-6548-41d0-bfcd-9eb1a7cad415,29,3677598,471736,1986435,33,7021,4
e27a984d-6548-41d0-bfcd-9eb1a7cad415,30,1564820,718744,600824,41,3857,10
e27a984d-6548-41d0-bfcd-9eb1a7cad415,31,1176154,370010,313765,36,2845,8
e27a984d-6548-41d0-bfcd-9eb1a7cad415,32,1313844,555677,1105272,20,6142,6
e27a984d-6548-41d0-bfcd-9eb1a7cad415,33,2959173,766116,864114,50,7095,9
e27a984d-6548-41d0-bfcd-9eb1a7cad415,34,4342048,386592,1884424,47,3787,2
e27a984d-6548-41d0-bfcd-9eb1a7cad415,35,1987526,625305,1767871,47,4624,3
e27a984d-6548-41d0-bfcd-9eb1a7cad415,36,683475,497231,388249,49,5443,10
61b1cd22-6280-4c45-9043-5a1098ae4334,1,4697748,612860,1909916,29,6844,7
61b1cd22-6280-4c45-9043-5a1098ae4334,2,1206265,763663,966669,31,7119,5
61b1cd22-6280-4c45-9043-5a1098ae4334,3,3300312,665707,355881,12,5083,3
61b1cd22-6280-4c45-9043-5a1098ae4334,4,4285884,629866,1097629,12,3967,8
61b1cd22-6280-4c45-9043-5a1098ae4334,5,1944860,513150,913756,38,5494,1
61b1cd22-6280-4c45-9043-5a1098ae4334,6,3306402,283946,1398937,26,2511,2
61b1cd22-6280-4c45-9043-5a1098ae4334,7,2448757,881547,214198,38,4669,4
61b1cd22-6280-4c45-9043-5a1098ae4334,8,2324001,765556,654490,23,3678,7
61b1cd22-6280-4c45-9043-5a1098ae4334,9,805650,370446,1356016,38,5487,5
61b1cd22-6280-4c45-9043-5a1098ae4334,10,2569165,271835,1548602,13,3205,5
61b1cd22-6280-4c45-9043-5a1098ae4334,11,3663672,865861,1743368,45,8210,5
61b1cd22-6280-4c45-9043-5a1098ae4334,12,3354318,454452,786513,23,1102,3
61b1cd22-6280-4c45-9043-5a1098ae4334,13,3246795,711090,398655,37,3240,6
61b1cd22-6280-4c45-9043-5a1098ae4334,14,656634,838348,1127419,20,771,7
61b1cd22-6280-4c45-9043-5a1098ae4334,15,1459924,462485,1556799,20,6163,10
61b1cd22-6280-4c45-9043-5a1098ae4334,16,4779639,912708,350384,46,5310,6
61b1cd22-6280-4c45-9043-5a1098ae4334,17,1519217,870323,1325981,49,1810,7
61b1cd22-6280-4c45-9043-5a1098ae4334,18,4695827,208873,1230598,21,2803,9
61b1cd22-6280-4c45-9043-5a1098ae4334,19,3559160,193598,532279,33,8951,4
61b1cd22-6280-4c45-9043-5a1098ae4334,20,1038594,684348,1782436,21,7220,7
61b1cd22-6280-4c45-9043-5a1098ae4334,21,3056290,806112,1126347,32,2082,5
61b1cd22-6280-4c45-9043-5a1098ae4334,22,3322248,337936,583236,29,2473,5
61b1cd22-6280-4c45-9043-5a1098ae4334,23,964050,409054,989428,47,3589,9
61b1cd22-6280-4c45-9043-5a1098ae4334,24,2098222,987688,1341600,31,6496,2
61b1cd22-6280-4c45-9043-5a1098ae4334,25,4835778,858894,934206,23,9810,9
61b1cd22-6280-4c45-9043-5a1098ae4334,26,2295395,399211,505136,35,6495,4
61b1cd22-6280-4c45-9043-5a1098ae4334,27,2050304,366825,254217,25,6002,10
61b1cd22-6280-4c45-9043-5a1098ae4334,28,1730895,210700,513809,28,920,5
61b1cd22-6280-4c45-9043-5a1098ae4334,29,4980080,817324,663783,31,6327,3
61b1cd22-6280-4c45-9043-5a1098ae4334,30,4985129,461659,1992382,17,6269,1
61b1cd22-6280-4c45-9043-5a1098ae4334,31,3453334,353716,1528261,44,7307,10
61b1cd22-6280-4c45-9043-5a1098ae4334,32,818664,203004,646022,49,9754,8
61b1cd22-6280-4c45-9043-5a1098ae4334,33,4406947,778915,815876,41,2021,1
61b1cd22-6280-4c45-9043-5a1098ae4334,34,2074100,192012,311349,38,6836,7
61b1cd22-6280-4c45-9043-5a1098ae4334,35,3203113,657290,467875,30,2676,1
61b1cd22-6280-4c45-9043-5a1098ae4334,36,843142,564247,481950,48,4313,1
c30ff46e-8026-495f-b8cd-a88b436d76e2,1,2960585,577083,1143221,19,4113,5
c30ff46e-8026-495f-b8cd-a88b436d76e2,2,1454511,647398,1182449,30,4056,1
c30ff46e-8026-495f-b8cd-a88b436d76e2,3,2594265,480602,1264268,39,1490,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,4,1403845,287500,1967535,28,5114,4
c30ff46e-8026-495f-b8cd-a88b436d76e2,5,3844170,946595,779395,44,7082,4
c30ff46e-8026-495f-b8cd-a88b436d76e2,6,3120380,605310,1930251,24,8115,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,7,3154407,683615,364403,48,3701,3
c30ff46e-8026-495f-b8cd-a88b436d76e2,8,1816098,305627,224412,33,6933,5
c30ff46e-8026-495f-b8cd-a88b436d76e2,9,1981695,909591,1614378,50,8065,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,10,1208511,299712,1610256,35,5854,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,11,1909803,387387,1511164,24,3847,7
c30ff46e-8026-495f-b8cd-a88b436d76e2,12,3893559,844080,838793,34,3645,8
c30ff46e-8026-495f-b8cd-a88b436d76e2,13,1456998,978522,1486904,32,8657,4
c30ff46e-8026-495f-b8cd-a88b436d76e2,14,3562154,936078,1549105,10,7914,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,15,2763073,749724,764887,16,1305,9
c30ff46e-8026-495f-b8cd-a88b436d76e2,16,3855084,902976,922276,29,6637,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,17,1235316,799868,1900032,31,1126,4
c30ff46e-8026-495f-b8cd-a88b436d76e2,18,2918206,375194,1450543,13,4729,1
c30ff46e-8026-495f-b8cd-a88b436d76e2,19,531207,975499,393303,17,3011,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,20,3928509,143279,1937254,43,5398,8
c30ff46e-8026-495f-b8cd-a88b436d76e2,21,997439,477672,749085,37,6330,8
c30ff46e-8026-495f-b8cd-a88b436d76e2,22,1914218,236944,260879,19,6171,3
c30ff46e-8026-495f-b8cd-a88b436d76e2,23,4446616,879776,834557,10,5235,10
c30ff46e-8026-495f-b8cd-a88b436d76e2,24,3816853,200028,914570,39,1736,4
c30ff46e-8026-495f-b8cd-a88b436d76e2,25,948440,824314,286612,18,822,8
c30ff46e-8026-495f-b8cd-a88b436d76e2,26,4753128,741107,560036,14,2957,9
c30ff46e-8026-495f-b8cd-a88b436d76e2,27,696879,935775,826478,27,2508,6
c30ff46e-8026-495f-b8cd-a88b436d76e2,28,1601356,142981,1757170,46,4207,7
c30ff46e-8026-495f-b8cd-a88b436d76e2,29,885403,724022,1445965,47,5144,8
c30ff46e-8026-495f-b8cd-a88b436d76e2,30,4404999,218715,1221442,34,2020,7
c30ff46e-8026-495f-b8cd-a88b436d76e2,31,3336496,130475,202531,40,7596,9
c30ff46e-8026-495f-b8cd-a88b436d76e2,32,4233716,410486,1415144,33,4985,9
c30ff46e-8026-495f-b8cd-a88b436d76e2,33,4404520,624835,543730,34,4089,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,34,1654482,525400,218673,34,6910,3
c30ff46e-8026-495f-b8cd-a88b436d76e2,35,1421937,780129,389957,17,4252,2
c30ff46e-8026-495f-b8cd-a88b436d76e2,36,2300118,764701,826587,34,1156,10
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,1,3365747,437099,1369542,15,5717,7
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,2,3496680,309437,483339,19,9178,10
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,3,4168789,494636,894460,19,3044,8
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,4,3539671,769939,1675508,44,6268,5
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,5,4790199,126997,1892687,22,9029,1
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,6,2015684,528490,1023225,15,8420,7
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,7,940802,818252,312027,50,703,10
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,8,3510556,250309,927963,38,2964,10
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,9,2715004,611113,1829800,17,8752,6
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,10,1447878,435121,555137,49,4567,3
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,11,3855919,836664,287709,29,2482,6
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,12,2360215,352849,1334473,39,9252,3
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,13,4760305,130908,1275035,12,1369,4
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,14,2670299,916337,1757278,24,4005,9
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,15,1598199,827980,246574,14,1097,4
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,16,3580409,121273,648726,38,8382,3
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,17,3771838,483814,1804635,29,5154,10
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,18,3477728,119601,592071,25,1864,6
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,19,4082357,995493,1766210,16,5151,3
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,20,1670995,269411,610919,46,523,5
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,21,1141351,147194,1507068,21,7984,5
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,22,2778472,517538,978862,14,2792,4
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,23,960904,272401,1884973,22,2832,1
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,24,2186444,749099,1431188,32,9036,6
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,25,2077983,947141,1678569,14,2068,1
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,26,1590902,222309,1984123,44,2152,2
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,27,4087054,607059,600787,44,9160,2
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,28,1743590,683653,797542,30,4213,3
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,29,4149935,888361,293076,40,4382,2
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,30,4555057,877105,764810,43,4845,6
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,31,4133275,432252,499611,49,7381,3
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,32,950046,674719,434201,44,8675,6
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,33,4380787,932113,844154,13,804,4
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,34,1977822,223088,1056617,37,957,2
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,35,741764,191942,1367263,18,3012,6
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,36,4889649,388046,845816,35,5479,9
847fd9b4-e64d-4bcb-b027-53a15f987c71,1,3209799,465668,1684571,18,5778,6
847fd9b4-e64d-4bcb-b027-53a15f987c71,2,1471495,892833,907456,28,1304,8
847fd9b4-e64d-4bcb-b027-53a15f987c71,3,4832192,431727,771303,41,2886,3
847fd9b4-e64d-4bcb-b027-53a15f987c71,4,642057,741575,583754,13,6163,9
847fd9b4-e64d-4bcb-b027-53a15f987c71,5,3359258,131366,624325,30,1585,6
847fd9b4-e64d-4bcb-b027-53a15f987c71,6,4233542,894069,1489877,44,6179,9
847fd9b4-e64d-4bcb-b027-53a15f987c71,7,4631114,622555,855760,28,3784,2
847fd9b4-e64d-4bcb-b027-53a15f987c71,8,4549721,368152,386111,27,8761,2
847fd9b4-e64d-4bcb-b027-53a15f987c71,9,749766,499979,1173749,22,6350,7
847fd9b4-e64d-4bcb-b027-53a15f987c71,10,1748102,374487,1156416,14,4349,2
847fd9b4-e64d-4bcb-b027-53a15f987c71,11,4885450,897311,234546,48,3186,10
847fd9b4-e64d-4bcb-b027-53a15f987c71,12,2858900,234014,1810636,40,5662,1
847fd9b4-e64d-4bcb-b027-53a15f987c71,13,2455693,822551,1090327,48,7862,8
847fd9b4-e64d-4bcb-b027-53a15f987c71,14,1124182,712609,1371875,23,2145,3
847fd9b4-e64d-4bcb-b027-53a15f987c71,15,3435817,817111,966090,39,8583,7
847fd9b4-e64d-4bcb-b027-53a15f987c71,16,3186750,766180,376161,38,2352,7
847fd9b4-e64d-4bcb-b027-53a15f987c71,17,2478940,261398,272436,14,6061,2
847fd9b4-e64d-4bcb-b027-53a15f987c71,18,2657257,711368,650996,24,6620,7
847fd9b4-e64d-4bcb-b027-53a15f987c71,19,1361637,847175,346365,43,5362,9
847fd9b4-e64d-4bcb-b027-53a15f987c71,20,2034801,786186,1299323,45,4456,9
847fd9b4-e64d-4bcb-b027-53a15f987c71,21,2144915,642931,1535036,49,1464,4
847fd9b4-e64d-4bcb-b027-53a15f987c71,22,514142,727368,415443,28,8829,3
847fd9b4-e64d-4bcb-b027-53a15f987c71,23,1541717,840135,346396,15,3592,4
847fd9b4-e64d-4bcb-b027-53a15f987c71,24,2740214,908339,1185309,35,5324,3
847fd9b4-e64d-4bcb-b027-53a15f987c71,25,844633,843863,1893069,33,4941,6
847fd9b4-e64d-4bcb-b027-53a15f987c71,26,3910141,545718,830307,27,7520,2
847fd9b4-e64d-4bcb-b027-53a15f987c71,27,4119987,676251,1841456,42,4549,5
847fd9b4-e64d-4bcb-b027-53a15f987c71,28,1369988,270178,594069,10,9727,10
847fd9b4-e64d-4bcb-b027-53a15f987c71,29,2685693,363188,1002897,45,5521,1
847fd9b4-e64d-4bcb-b027-53a15f987c71,30,4996262,812938,731115,38,5231,5
847fd9b4-e64d-4bcb-b027-53a15f987c71,31,2449660,713625,388098,26,1573,4
847fd9b4-e64d-4bcb-b027-53a15f987c71,32,4083015,185402,1139835,32,778,3
847fd9b4-e64d-4bcb-b027-53a15f987c71,33,647758,157211,1754069,27,7463,7
847fd9b4-e64d-4bcb-b027-53a15f987c71,34,4036664,649528,1890031,12,4228,8
847fd9b4-e64d-4bcb-b027-53a15f987c71,35,1123607,938686,457466,47,6786,5
847fd9b4-e64d-4bcb-b027-53a15f987c71,36,4990598,194298,1317290,47,3939,1
21df306f-8a0b-4c33-b6d8-393a7c441fe7,1,3581849,405479,1858717,46,8008,10
21df306f-8a0b-4c33-b6d8-393a7c441fe7,2,1714240,721244,930661,36,4061,3
21df306f-8a0b-4c33-b6d8-393a7c441fe7,3,3933418,988428,1578170,46,2371,10
21df306f-8a0b-4c33-b6d8-393a7c441fe7,4,2852636,487196,691319,32,3813,9
21df306f-8a0b-4c33-b6d8-393a7c441fe7,5,2126003,319255,1061799,38,8189,5
21df306f-8a0b-4c33-b6d8-393a7c441fe7,6,2412529,720178,1326553,32,6813,1
21df306f-8a0b-4c33-b6d8-393a7c441fe7,7,2087562,134040,1496785,42,3954,7
21df306f-8a0b-4c33-b6d8-393a7c441fe7,8,748706,648215,1878497,41,4724,2
21df306f-8a0b-4c33-b6d8-393a7c441fe7,9,2020864,394739,1340285,45,2418,9
21df306f-8a0b-4c33-b6d8-393a7c441fe7,10,4522076,640083,626189,30,3660,7
21df306f-8a0b-4c33-b6d8-393a7c441fe7,11,1803556,440684,1372808,39,1328,3
21df306f-8a0b-4c33-b6d8-393a7c441fe7,12,4344363,495122,1137783,22,1095,9
21df306f-8a0b-4c33-b6d8-393a7c441fe7,13,2351513,198080,1228188,30,2986,6
21df306f-8a0b-4c33-b6d8-393a7c441fe7,14,2827081,292651,1882402,45,7731,4
21df306f-8a0b-4c33-b6d8-393a7c441fe7,15,2165489,535913,1196193,39,4207,1
21df306f-8a0b-4c33-b6d8-393a7c441fe7,16,4460441,323555,1525581,34,4265,3
21df306f-8a0b-4c33-b6d8-393a7c441fe7,17,1162392,140419,1129159,36,5662,9
21df306f-8a0b-4c33-b6d8-393a7c441fe7,18,1130244,611312,872450,15,9424,2
21df306f-8a0b-4c33-b6d8-393a7c441fe7,19,2007079,527621,1284381,17,2460,8
21df306f-8a0b-4c33-b6d8-393a7c441fe7,20,2500743,677380,299780,29,2458,8
21df306f-8a0b-4c33-b6d8-393a7c441fe7,21,2237128,257098,1240136,30,525,7
21df306f-8a0b-4c33-b6d8-393a7c441fe7,22,4379244,891225,1385725,41,3726,2
21df306f-8a0b-4c33-b6d8-393a7c441fe7,23,2187540,745609,1438107,30,6483,3
21df306f-8a0b-4c33-b6d8-393a7c441fe7,24,4739975,467287,1415720,48,5475,5
21df306f-8a0b-4c33-b6d8-393a7c441fe7,25,1625290,706717,1228313,12,779,10
21df306f-8a0b-4c33-b6d8-393a7c441fe7,26,3516890,349024,1161593,26,6622,6
21df306f-8a0b-4c33-b6d8-393a7c441fe7,27,837660,523451,1045180,26,1591,2
21df306f-8a0b-4c33-b6d8-393a7c441fe7,28,860571,100910,1744169,42,1423,3
21df306f-8a0b-4c33-b6d8-393a7c441fe7,29,3785916,285499,312731,40,8686,7
21df306f-8a0b-4c33-b6d8-393a7c441fe7,30,2576132,446264,1037107,47,8292,6
21df306f-8a0b-4c33-b6d8-393a7c441fe7,31,975547,278224,225589,37,6484,4
21df306f-8a0b-4c33-b6d8-393a7c441fe7,32,672410,162408,1069029,11,9956,4
21df306f-8a0b-4c33-b6d8-393a7c441fe7,33,2677165,940402,319763,48,8503,7
21df306f-8a0b-4c33-b6d8-393a7c441fe7,34,1346306,162058,1259483,38,5103,10
21df306f-8a0b-4c33-b6d8-393a7c441fe7,35,777226,863850,1214312,24,5975,4
21df306f-8a0b-4c33-b6d8-393a7c441fe7,36,3527666,304832,1047052,34,2862,10
23e2fcb4-72d8-467d-894a-05e430b187ef,1,3652585,210889,1067348,46,2343,10
23e2fcb4-72d8-467d-894a-05e430b187ef,2,1308512,256669,1748089,12,3438,8
23e2fcb4-72d8-467d-894a-05e430b187ef,3,4837757,611234,938861,15,4857,6
23e2fcb4-72d8-467d-894a-05e430b187ef,4,3975547,154716,977868,11,5426,6
23e2fcb4-72d8-467d-894a-05e430b187ef,5,729541,455119,1622878,20,7674,7
23e2fcb4-72d8-467d-894a-05e430b187ef,6,4102428,848167,351640,43,3787,5
23e2fcb4-72d8-467d-894a-05e430b187ef,7,4171564,275754,300277,39,5839,3
